nombre_planta;producto;mes_planificado;volumen_consumo;capacidad;min_dias_autonomia;ideal_dias_autonomia;consumo_diario;stock_inicial;Prioridad_abastecimiento;stock_ideal_planta;demanda;id_tipo_rango;rango;inicio_rango;fin_rango;porcentaje;demanda_rango
planta1;EUNI SC;1;9,0;40;6;7;0,34;20;Almacenes;2,3800000000000003;-8,62;;;;;;
planta1;EUNI SC;2;7,0;40;6;7;0,34;0;Almacenes;2,3800000000000003;9,38;;;;;;
planta1;EUNI SC;3;11,0;40;6;7;0,34;0;Almacenes;2,3800000000000003;13,38;;;;;;
planta1;EUNI SC;4;10,0;40;6;7;0,34;0;Almacenes;2,3800000000000003;12,38;;;;;;
planta1;EUNI SC;5;10,0;40;6;7;0,34;0;Almacenes;2,3800000000000003;12,38;;;;;;
planta1;EUNI SC;6;3,0;40;6;7;0,34;0;Almacenes;2,3800000000000003;5,380000000000001;;;;;;
planta1;EUNI SC;7;11,0;40;6;7;0,34;0;Almacenes;2,3800000000000003;13,38;;;;;;
planta1;EUNI SC;8;10,0;40;6;7;0,34;0;Almacenes;2,3800000000000003;12,38;;;;;;
planta1;EUNI SC;9;9,0;40;6;7;0,34;0;Almacenes;2,3800000000000003;11,38;;;;;;
planta1;EUNI SC;10;10,0;40;6;7;0,34;0;Almacenes;2,3800000000000003;12,38;;;;;;
planta1;EUNI SC;11;10,0;40;6;7;0,34;0;Almacenes;2,3800000000000003;12,38;;;;;;
planta1;EUNI SC;12;10,0;40;6;7;0,34;0;Almacenes;2,3800000000000003;12,38;;;;;;
planta1;EUNI CC;1;38,0;40;6;7;1,36;20;Almacenes;9,520000000000001;27,520000000000003;;;;;;
planta1;EUNI CC;2;27,0;40;6;7;1,36;0;Almacenes;9,520000000000001;36,52;;;;;;
planta1;EUNI CC;3;43,0;40;6;7;1,36;0;Almacenes;9,520000000000001;52,52;;;;;;
planta1;EUNI CC;4;40,0;40;6;7;1,36;0;Almacenes;9,520000000000001;49,52;;;;;;
planta1;EUNI CC;5;40,0;40;6;7;1,36;0;Almacenes;9,520000000000001;49,52;;;;;;
planta1;EUNI CC;6;13,0;40;6;7;1,36;0;Almacenes;9,520000000000001;22,520000000000003;;;;;;
planta1;EUNI CC;7;43,0;40;6;7;1,36;0;Almacenes;9,520000000000001;52,52;;;;;;
planta1;EUNI CC;8;40,0;40;6;7;1,36;0;Almacenes;9,520000000000001;49,52;;;;;;
planta1;EUNI CC;9;38,0;40;6;7;1,36;0;Almacenes;9,520000000000001;47,52;;;;;;
planta1;EUNI CC;10;41,0;40;6;7;1,36;0;Almacenes;9,520000000000001;50,52;;;;;;
planta1;EUNI CC;11;40,0;40;6;7;1,36;0;Almacenes;9,520000000000001;49,52;;;;;;
planta1;EUNI CC;12;41,0;40;6;7;1,36;0;Almacenes;9,520000000000001;50,52;;;;;;
planta1;EUGL SC;1;20,0;40;6;7;0,79;20;Almacenes;5,53;5,530000000000001;;;;;;
planta1;EUGL SC;2;14,6;40;6;7;0,79;0;Almacenes;5,53;20,13;;;;;;
planta1;EUGL SC;3;21,6;40;6;7;0,79;0;Almacenes;5,53;27,130000000000003;;;;;;
planta1;EUGL SC;4;20,2;40;6;7;0,79;0;Almacenes;5,53;25,73;;;;;;
planta1;EUGL SC;5;20,8;40;6;7;0,79;0;Almacenes;5,53;26,330000000000002;;;;;;
planta1;EUGL SC;6;7,2;40;6;7;0,79;0;Almacenes;5,53;12,73;;;;;;
planta1;EUGL SC;7;24,2;40;6;7;0,79;0;Almacenes;5,53;29,73;;;;;;
planta1;EUGL SC;8;23,4;40;6;7;0,79;0;Almacenes;5,53;28,93;;;;;;
planta1;EUGL SC;9;22,0;40;6;7;0,79;0;Almacenes;5,53;27,53;;;;;;
planta1;EUGL SC;10;24,0;40;6;7;0,79;0;Almacenes;5,53;29,53;;;;;;
planta1;EUGL SC;11;23,2;40;6;7;0,79;0;Almacenes;5,53;28,73;;;;;;
planta1;EUGL SC;12;24,0;40;6;7;0,79;0;Almacenes;5,53;29,53;;;;;;
planta1;EUGL CC;1;80,0;40;6;7;3,17;20;Produccion;22,189999999999998;82,19;1,0;0-3;0,0;3,0;0,7;57,532999999999994
planta1;EUGL CC;1;80,0;40;6;7;3,17;20;Produccion;22,189999999999998;82,19;1,0;4-6;4,0;6,0;0,2;16,438
planta1;EUGL CC;1;80,0;40;6;7;3,17;20;Produccion;22,189999999999998;82,19;1,0;7-9;7,0;9,0;0,1;8,219
planta1;EUGL CC;2;58,4;40;6;7;3,17;0;Produccion;22,189999999999998;80,59;2,0;0-3;0,0;3,0;0,7;56,413
planta1;EUGL CC;2;58,4;40;6;7;3,17;0;Produccion;22,189999999999998;80,59;2,0;4-6;4,0;6,0;0,1;8,059000000000001
planta1;EUGL CC;2;58,4;40;6;7;3,17;0;Produccion;22,189999999999998;80,59;2,0;7-13;7,0;13,0;0,2;16,118000000000002
planta1;EUGL CC;3;86,4;40;6;7;3,17;0;Produccion;22,189999999999998;108,59;3,0;0-3;0,0;3,0;0,6;65,154
planta1;EUGL CC;3;86,4;40;6;7;3,17;0;Produccion;22,189999999999998;108,59;3,0;4-6;4,0;6,0;0,2;21,718000000000004
planta1;EUGL CC;3;86,4;40;6;7;3,17;0;Produccion;22,189999999999998;108,59;3,0;7-9;7,0;9,0;0,1;10,859000000000002
planta1;EUGL CC;3;86,4;40;6;7;3,17;0;Produccion;22,189999999999998;108,59;3,0;10-13;10,0;13,0;0,1;10,859000000000002
planta1;EUGL CC;4;80,8;40;6;7;3,17;0;Produccion;22,189999999999998;102,99;;;;;;
planta1;EUGL CC;5;83,2;40;6;7;3,17;0;Produccion;22,189999999999998;105,39;;;;;;
planta1;EUGL CC;6;28,8;40;6;7;3,17;0;Produccion;22,189999999999998;50,989999999999995;;;;;;
planta1;EUGL CC;7;96,8;40;6;7;3,17;0;Produccion;22,189999999999998;118,99;;;;;;
planta1;EUGL CC;8;93,6;40;6;7;3,17;0;Produccion;22,189999999999998;115,78999999999999;;;;;;
planta1;EUGL CC;9;88,0;40;6;7;3,17;0;Produccion;22,189999999999998;110,19;;;;;;
planta1;EUGL CC;10;96,0;40;6;7;3,17;0;Produccion;22,189999999999998;118,19;;;;;;
planta1;EUGL CC;11;92,8;40;6;7;3,17;0;Produccion;22,189999999999998;114,99;;;;;;
planta1;EUGL CC;12;96,0;40;6;7;3,17;0;Produccion;22,189999999999998;118,19;;;;;;
