id_ingreso;nombre_ingreso;nombre_planta;producto;zona;tipo_ingreso;almacen_verano;almacen_invierno;cosecha_compra;mes_planificado;volumen
ing1;Suministro PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;1;8397,0
ing1;Suministro PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;2;10000,0
ing1;Suministro PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;3;12000,0
ing1;Suministro PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;4;12000,0
ing1;Suministro PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;5;15000,0
ing1;Suministro PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;6;15000,0
ing1;Suministro PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;7;14000,0
ing1;Suministro PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;8;14000,0
ing1;Suministro PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;9;7000,0
ing1;Suministro PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;10;7000,0
ing1;Suministro PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;11;7000,0
ing1;Suministro PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;12;9000,0
ing1;Suministro PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;13;10000,0
ing1;Suministro PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;14;14000,0
ing1;Suministro PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;15;14000,0
ing1;Suministro PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;16;14000,0
ing2;Compras Puesto en planta PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;1;47285,0
ing2;Compras Puesto en planta PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;2;60000,0
ing2;Compras Puesto en planta PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;3;58000,0
ing2;Compras Puesto en planta PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;4;58000,0
ing2;Compras Puesto en planta PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;5;72000,0
ing2;Compras Puesto en planta PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;6;72000,0
ing2;Compras Puesto en planta PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;7;72000,0
ing2;Compras Puesto en planta PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;8;64000,0
ing2;Compras Puesto en planta PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;9;25000,0
ing2;Compras Puesto en planta PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;10;18000,0
ing2;Compras Puesto en planta PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;11;18000,0
ing2;Compras Puesto en planta PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;12;25000,0
ing2;Compras Puesto en planta PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;13;45000,0
ing2;Compras Puesto en planta PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;14;65000,0
ing2;Compras Puesto en planta PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;15;67000,0
ing2;Compras Puesto en planta PPP;Nueva_aldea;EUGL;chillan;directo_planta;N_A;N_A;compras;16;67000,0
ing3;Compras en cancha (CN);Nueva_aldea;EUGL;chillan;directo_almacen;alm1;alm1;compras;1;1885,0
ing3;Compras en cancha (CN);Nueva_aldea;EUGL;chillan;directo_almacen;alm1;alm1;compras;2;25000,0
